City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,srandakan,-7.9386,110.2506,76.46,90,100,6.04,ID,2023-02-09 00:09:16
252,tubmanburg,6.8708,-10.8172,75.52,92,45,1.34,LR,2023-02-09 00:09:16
253,port-cartier,50.0334,-66.8654,14.76,73,6,14.38,CA,2023-02-09 00:09:09
254,bulawayo,-20.15,28.5833,64.13,75,55,3.83,ZW,2023-02-09 00:09:17
255,noumea,-22.2763,166.4572,89.58,99,100,9.19,NC,2023-02-09 00:06:42
256,touros,-5.1989,-35.4608,80.04,79,46,14.52,BR,2023-02-09 00:09:18
257,mountain home,43.133,-115.6912,41.43,46,20,16.11,US,2023-02-09 00:09:03
258,seoul,37.5683,126.9778,27.84,74,0,3.44,KR,2023-02-09 00:05:07
259,margate,51.3813,1.3862,39.51,63,17,11.1,GB,2023-02-09 00:09:19
260,vila franca do campo,37.7167,-25.4333,55.81,70,87,10.02,PT,2023-02-09 00:09:19
261,artyom,40.4723,50.333,30.34,80,99,42.88,AZ,2023-02-09 00:09:20
262,jhalida,23.3667,85.9667,56.3,42,0,3.33,IN,2023-02-09 00:09:20
263,port blair,11.6667,92.75,75.07,74,87,7.45,IN,2023-02-09 00:09:20
264,dalvik,65.9702,-18.5286,17.8,80,84,11.07,IS,2023-02-09 00:09:21
265,richards bay,-28.783,32.0377,71.91,94,98,12.08,ZA,2023-02-09 00:09:22
266,cerrito,6.8432,-72.694,52.36,91,48,6.44,CO,2023-02-09 00:09:22
267,innisfail,-17.5333,146.0333,83.77,74,89,5.21,AU,2023-02-09 00:09:22
268,kattivakkam,13.2167,80.3167,73.49,77,100,4.27,IN,2023-02-09 00:09:23
269,saint marys,30.7305,-81.5465,67.28,81,39,3.0,US,2023-02-09 00:04:47
270,faanui,-16.4833,-151.75,80.89,73,15,9.64,PF,2023-02-09 00:09:24
271,ilulissat,69.2167,-51.1,-7.58,59,0,5.75,GL,2023-02-09 00:09:24
272,san policarpo,12.1791,125.5072,79.43,83,85,14.88,PH,2023-02-09 00:09:25
273,norrtalje,59.758,18.705,35.02,71,94,15.75,SE,2023-02-09 00:09:25
274,roebourne,-20.7833,117.1333,87.08,60,3,2.55,AU,2023-02-09 00:09:26
275,westervoort,51.9558,5.9722,34.11,68,40,6.91,NL,2023-02-09 00:09:26
276,baruun-urt,46.6806,113.2792,9.7,93,100,6.35,MN,2023-02-09 00:09:26
277,benghazi,32.1167,20.0667,54.1,73,84,30.58,LY,2023-02-09 00:09:27
278,chunhuhub,19.55,-88.6833,77.2,67,11,5.79,MX,2023-02-09 00:09:27
279,katsuura,35.1333,140.3,46.42,49,67,14.41,JP,2023-02-09 00:09:22
280,cockburn town,21.4612,-71.1419,77.23,78,0,23.71,TC,2023-02-09 00:09:28
281,sistranda,63.7256,8.834,44.56,96,100,34.87,NO,2023-02-09 00:09:29
282,arraial do cabo,-22.9661,-42.0278,74.3,89,100,8.81,BR,2023-02-09 00:09:29
283,los llanos de aridane,28.6585,-17.9182,56.95,74,40,6.91,ES,2023-02-09 00:09:30
284,kourou,5.1552,-52.6478,78.85,90,98,9.98,GF,2023-02-09 00:09:30
285,north bend,43.4065,-124.2243,55.24,82,75,3.44,US,2023-02-09 00:05:15
286,saint-joseph,-21.3667,55.6167,73.78,81,76,11.48,RE,2023-02-09 00:09:31
287,poronaysk,49.2167,143.1167,-8.73,83,11,6.78,RU,2023-02-09 00:09:31
288,portland,45.5234,-122.6762,53.67,66,20,3.44,US,2023-02-09 00:09:32
289,vanimo,-2.6741,141.3028,77.56,92,100,18.1,PG,2023-02-09 00:09:32
290,inza,53.8533,46.3586,15.35,96,100,4.72,RU,2023-02-09 00:09:33
291,valleyview,55.0667,-117.2859,32.81,69,9,11.16,CA,2023-02-09 00:09:33
292,swift current,50.2834,-107.8014,27.41,86,100,18.41,CA,2023-02-09 00:05:42
